pt range	total	half	sum	chiso
20~400		53	26.5	27	7.9058
20~400		53	26.5	27	7.9061
20~400		53	26.5	27	7.9064
20~400		53	26.5	27	7.9067
20~400		53	26.5	27	7.907
20~400		53	26.5	27	7.9073
20~400		53	26.5	27	7.9076
20~400		53	26.5	27	7.9079
20~400		53	26.5	27	7.9082
20~400		53	26.5	27	7.9085
20~400		53	26.5	27	7.9088
20~400		53	26.5	27	7.9091
20~400		53	26.5	27	7.9094
20~400		53	26.5	27	7.9097
20~400		53	26.5	27	7.91
20~400		53	26.5	27	7.9103
20~400		53	26.5	27	7.9106
20~400		53	26.5	27	7.9109
20~400		53	26.5	27	7.9112
20~400		53	26.5	27	7.9115
20~400		53	26.5	27	7.9118
20~400		53	26.5	27	7.9121
20~400		53	26.5	27	7.9124
20~400		53	26.5	27	7.9127
20~400		53	26.5	27	7.913
20~400		53	26.5	27	7.9133
20~400		53	26.5	27	7.9136
20~400		53	26.5	27	7.9139
20~400		53	26.5	27	7.9142
20~400		53	26.5	27	7.9145
20~400		53	26.5	27	7.9148
20~400		53	26.5	27	7.9151
20~400		53	26.5	27	7.9154
20~400		53	26.5	27	7.9157
20~400		53	26.5	27	7.916
20~400		53	26.5	27	7.9163
20~400		53	26.5	27	7.9166
20~400		53	26.5	27	7.9169
20~400		53	26.5	27	7.9172
20~400		53	26.5	27	7.9175
20~400		53	26.5	27	7.9178
20~400		53	26.5	27	7.9181
20~400		53	26.5	27	7.9184
20~400		53	26.5	27	7.9187
20~400		53	26.5	27	7.919
20~400		53	26.5	27	7.9193
20~400		53	26.5	27	7.9196
20~400		53	26.5	27	7.9199
20~400		53	26.5	27	7.9202
20~400		53	26.5	27	7.9205
20~400		53	26.5	27	7.9208
20~400		53	26.5	27	7.9211
20~400		53	26.5	27	7.9214
20~400		53	26.5	27	7.9217
20~400		53	26.5	27	7.922
20~400		53	26.5	27	7.9223
20~400		53	26.5	27	7.9226
20~400		53	26.5	27	7.9229
20~400		53	26.5	27	7.9232
20~400		53	26.5	27	7.9235
20~400		53	26.5	27	7.9238
20~400		53	26.5	27	7.9241
20~400		53	26.5	27	7.9244
20~400		53	26.5	27	7.9247
20~400		53	26.5	27	7.925
20~400		53	26.5	27	7.9253
20~400		53	26.5	27	7.9256
20~400		53	26.5	27	7.9259
20~400		53	26.5	27	7.9262
20~400		53	26.5	27	7.9265
20~400		53	26.5	27	7.9268
20~400		53	26.5	27	7.9271
20~400		53	26.5	27	7.9274
20~400		53	26.5	27	7.9277
20~400		53	26.5	27	7.928
20~400		53	26.5	27	7.9283
20~400		53	26.5	27	7.9286
20~400		53	26.5	27	7.9289
20~400		53	26.5	27	7.9292
20~400		53	26.5	27	7.9295
20~400		53	26.5	27	7.9298
20~400		53	26.5	27	7.9301
20~400		53	26.5	27	7.9304
20~400		53	26.5	27	7.9307
20~400		53	26.5	27	7.931
20~400		53	26.5	27	7.9313
20~400		53	26.5	27	7.9316
20~400		53	26.5	27	7.9319
20~400		53	26.5	27	7.9322
20~400		53	26.5	27	7.9325
20~400		53	26.5	27	7.9328
20~400		53	26.5	27	7.9331
20~400		53	26.5	27	7.9334
20~400		53	26.5	27	7.9337
20~400		53	26.5	27	7.934
20~400		53	26.5	27	7.9343
20~400		53	26.5	27	7.9346
20~400		53	26.5	27	7.9349
20~400		53	26.5	27	7.9352
20~400		53	26.5	27	7.9355
20~400		53	26.5	27	7.9358
20~400		53	26.5	27	7.9361
20~400		53	26.5	27	7.9364
20~400		53	26.5	27	7.9367
20~400		53	26.5	27	7.937
20~400		53	26.5	27	7.9373
20~400		53	26.5	27	7.9376
20~400		53	26.5	27	7.9379
20~400		53	26.5	27	7.9382
20~400		53	26.5	27	7.9385
20~400		53	26.5	27	7.9388
20~400		53	26.5	27	7.9391
20~400		53	26.5	27	7.9394
20~400		53	26.5	27	7.9397
20~400		53	26.5	27	7.94
20~400		53	26.5	27	7.9403
20~400		53	26.5	27	7.9406
20~400		53	26.5	27	7.9409
20~400		53	26.5	27	7.9412
20~400		53	26.5	27	7.9415
20~400		53	26.5	27	7.9418
20~400		53	26.5	27	7.9421
20~400		53	26.5	27	7.9424
20~400		53	26.5	27	7.9427
20~400		53	26.5	27	7.943
20~400		53	26.5	27	7.9433
20~400		53	26.5	27	7.9436
20~400		53	26.5	27	7.9439
20~400		53	26.5	27	7.9442
20~400		53	26.5	27	7.9445
20~400		53	26.5	27	7.9448
20~400		53	26.5	27	7.9451
20~400		53	26.5	27	7.9454
20~400		53	26.5	27	7.9457
20~400		53	26.5	27	7.946
20~400		53	26.5	27	7.9463
20~400		53	26.5	27	7.9466
20~400		53	26.5	27	7.9469
20~400		53	26.5	27	7.9472
20~400		53	26.5	27	7.9475
20~400		53	26.5	27	7.9478
20~400		53	26.5	27	7.9481
20~400		53	26.5	27	7.9484
20~400		53	26.5	27	7.9487
20~400		53	26.5	27	7.949
20~400		53	26.5	27	7.9493
20~400		53	26.5	27	7.9496
20~400		53	26.5	27	7.9499
20~400		53	26.5	27	7.9502
20~400		53	26.5	27	7.9505
20~400		53	26.5	27	7.9508
20~400		53	26.5	27	7.9511
20~400		53	26.5	27	7.9514
20~400		53	26.5	27	7.9517
20~400		53	26.5	27	7.952
20~400		53	26.5	27	7.9523
20~400		53	26.5	27	7.9526
20~400		53	26.5	27	7.9529
20~400		53	26.5	27	7.9532
20~400		53	26.5	27	7.9535
20~400		53	26.5	27	7.9538
20~400		53	26.5	27	7.9541
20~400		53	26.5	27	7.9544
20~400		53	26.5	27	7.9547
20~400		53	26.5	27	7.955
20~400		53	26.5	27	7.9553
20~400		53	26.5	27	7.9556
20~400		53	26.5	27	7.9559
20~400		53	26.5	27	7.9562
20~400		53	26.5	27	7.9565
20~400		53	26.5	27	7.9568
20~400		53	26.5	27	7.9571
20~400		53	26.5	27	7.9574
20~400		53	26.5	27	7.9577
20~400		53	26.5	27	7.958
20~400		53	26.5	27	7.9583
20~400		53	26.5	27	7.9586
20~400		53	26.5	27	7.9589
20~400		53	26.5	27	7.9592
20~400		53	26.5	27	7.9595
20~400		53	26.5	27	7.9598
20~400		53	26.5	27	7.9601
20~400		53	26.5	27	7.9604
20~400		53	26.5	27	7.9607
20~400		53	26.5	27	7.961
20~400		53	26.5	27	7.9613
20~400		53	26.5	27	7.9616
20~400		53	26.5	27	7.9619
20~400		53	26.5	27	7.9622
20~400		53	26.5	27	7.9625
20~400		53	26.5	27	7.9628
20~400		53	26.5	27	7.9631
20~400		53	26.5	27	7.9634
20~400		53	26.5	27	7.9637
