pt	closure		sideband	template	total	fakefraction	fakefraction_up	fakefraction_down
20~25	0.23		0.02		0.02		0.23		0.41		0.51		0.31
25~30	0.08		0.02		0.01		0.08		0.33		0.36		0.30
30~35	0.00		0.08		0.02		0.08		0.26		0.28		0.24
35~40	0.00		0.08		0.04		0.09		0.25		0.27		0.23
40~50	0.22		0.03		0.02		0.22		0.17		0.21		0.13
50~60	0.22		0.06		0.05		0.24		0.15		0.19		0.11
60~100	0.05		0.05		0.05		0.09		0.12		0.13		0.11
100~400	0.05		0.37		0.13		0.40		0.03		0.04		0.02
