pt	closure		sideband	template	total	fakefraction	fakefraction_up	fakefraction_down
20~25	0.16		0.05		0.01		0.17		0.35		0.41		0.29
25~30	0.24		0.06		0.01		0.25		0.28		0.35		0.21
30~35	0.14		0.05		0.01		0.15		0.24		0.28		0.20
35~40	0.14		0.00		0.01		0.14		0.24		0.27		0.21
40~50	0.01		0.04		0.01		0.04		0.18		0.19		0.17
50~60	0.34		0.17		0.03		0.38		0.12		0.17		0.07
60~100	0.08		0.01		0.03		0.09		0.10		0.11		0.09
100~400	0.08		0.07		0.04		0.11		0.05		0.06		0.04
