pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
40  <pt<50 	7<chiso range<12 	46.3082	44.2159	8.31158	0.251733
40  <pt<50 	7<chiso range<13 	46.3082	45.3443	8.19021	0.117689
40  <pt<50 	8<chiso range<13 	46.3082	46.0459	8.1191	0.0323065
#######################################################################################
50  <pt<60 	3<chiso range<8 	27.0623	27.881	5.99947	0.136462
50  <pt<60 	3<chiso range<9 	27.0623	28.1679	5.98082	0.184858
50  <pt<60 	3<chiso range<10 	27.0623	27.6138	6.03994	0.0913089
50  <pt<60 	3<chiso range<11 	27.0623	27.7859	6.01463	0.120307
50  <pt<60 	3<chiso range<12 	27.0623	28.1331	5.98484	0.178919
50  <pt<60 	3<chiso range<13 	27.0623	28.4629	5.94279	0.235681
50  <pt<60 	4<chiso range<9 	27.0623	28.5679	5.92967	0.25391
50  <pt<60 	4<chiso range<10 	27.0623	27.9223	5.99165	0.143533
50  <pt<60 	4<chiso range<11 	27.0623	28.1161	5.98748	0.176001
50  <pt<60 	4<chiso range<12 	27.0623	28.411	5.94871	0.226721
50  <pt<60 	4<chiso range<13 	27.0623	28.692	5.89869	0.276282
50  <pt<60 	5<chiso range<10 	27.0623	27.5819	6.04634	0.0859363
50  <pt<60 	5<chiso range<11 	27.0623	27.811	6.012	0.124534
50  <pt<60 	5<chiso range<12 	27.0623	28.2302	5.97301	0.19553
50  <pt<60 	5<chiso range<13 	27.0623	28.621	5.924	0.263116
50  <pt<60 	6<chiso range<11 	27.0623	28.1051	5.99059	0.174073
50  <pt<60 	6<chiso range<12 	27.0623	28.5087	5.93767	0.243597
50  <pt<60 	6<chiso range<13 	27.0623	28.8741	5.87598	0.30834
50  <pt<60 	7<chiso range<12 	27.0623	28.5688	5.93101	0.254004
50  <pt<60 	7<chiso range<13 	27.0623	28.9904	5.86131	0.328954
50  <pt<60 	8<chiso range<13 	27.0623	29.1078	5.84523	0.349943
#######################################################################################
60  <pt<400 	3<chiso range<8 	60.9977	63.3302	8.45576	0.275847
60  <pt<400 	3<chiso range<9 	60.9977	63.1855	8.4636	0.258495
