pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	83.0892	67.9989	4.78926	3.15086
20 <pt<25 	3<chiso range<9 	83.0892	68.4735	4.82215	3.03095
20 <pt<25 	3<chiso range<10 	83.0892	66.3075	4.66854	3.59464
20 <pt<25 	3<chiso range<11 	83.0892	67.3077	4.73898	3.33015
20 <pt<25 	3<chiso range<12 	83.0892	67.3129	4.73988	3.32842
20 <pt<25 	3<chiso range<13 	83.0892	66.2875	4.66905	3.59853
20 <pt<25 	4<chiso range<9 	83.0892	69.6639	4.90446	2.73737
20 <pt<25 	4<chiso range<10 	83.0892	66.8372	4.7037	3.45515
20 <pt<25 	4<chiso range<11 	83.0892	67.9824	4.78466	3.15734
20 <pt<25 	4<chiso range<12 	83.0892	67.9307	4.78198	3.16992
20 <pt<25 	4<chiso range<13 	83.0892	66.702	4.69751	3.48849
20 <pt<25 	5<chiso range<10 	83.0892	61.6032	4.33387	4.95769
20 <pt<25 	5<chiso range<11 	83.0892	63.6617	4.4795	4.33698
20 <pt<25 	5<chiso range<12 	83.0892	64.0765	4.51019	4.2155
20 <pt<25 	5<chiso range<13 	83.0892	62.9214	4.43154	4.55097
20 <pt<25 	6<chiso range<11 	83.0892	67.5558	4.75541	3.26647
20 <pt<25 	6<chiso range<12 	83.0892	67.5337	4.75507	3.27135
20 <pt<25 	6<chiso range<13 	83.0892	65.7748	4.63352	3.73677
20 <pt<25 	7<chiso range<12 	83.0892	68.3358	4.80983	3.06734
20 <pt<25 	7<chiso range<13 	83.0892	66.0744	4.65429	3.65572
20 <pt<25 	8<chiso range<13 	83.0892	63.5041	4.47334	4.37818
#######################################################################################
25 <pt<30 	3<chiso range<8 	42.6868	34.4426	3.7178	2.21749
25 <pt<30 	3<chiso range<9 	42.6868	35.1248	3.79707	1.99154
25 <pt<30 	3<chiso range<10 	42.6868	36.0366	3.89676	1.7066
25 <pt<30 	3<chiso range<11 	42.6868	36.3813	3.93264	1.60338
25 <pt<30 	3<chiso range<12 	42.6868	35.6982	3.86072	1.81018
25 <pt<30 	3<chiso range<13 	42.6868	34.6815	3.75223	2.13348
25 <pt<30 	4<chiso range<9 	42.6868	35.0498	3.78996	2.01506
25 <pt<30 	4<chiso range<10 	42.6868	36.1854	3.91348	1.66128
25 <pt<30 	4<chiso range<11 	42.6868	36.5888	3.95577	1.54155
25 <pt<30 	4<chiso range<12 	42.6868	35.7506	3.86714	1.79363
25 <pt<30 	4<chiso range<13 	42.6868	34.547	3.73841	2.17734
25 <pt<30 	5<chiso range<10 	42.6868	33.4884	3.6251	2.53742
25 <pt<30 	5<chiso range<11 	42.6868	34.3761	3.72046	2.23378
25 <pt<30 	5<chiso range<12 	42.6868	33.6087	3.63811	2.49528
25 <pt<30 	5<chiso range<13 	42.6868	32.4111	3.50933	2.92811
25 <pt<30 	6<chiso range<11 	42.6868	36.6957	3.97009	1.50906
25 <pt<30 	6<chiso range<12 	42.6868	35.4455	3.83582	1.88781
25 <pt<30 	6<chiso range<13 	42.6868	33.7939	3.65801	2.43108
25 <pt<30 	7<chiso range<12 	42.6868	37.8946	4.09868	1.16921
25 <pt<30 	7<chiso range<13 	42.6868	35.4829	3.83922	1.8764
