pt range	total	half	sum	chiso
20~400		850	425	424	6.293
20~400		850	425	424	6.29325
20~400		850	425	424	6.2935
20~400		850	425	424	6.29375
20~400		850	425	424	6.294
20~400		850	425	425	6.29425
20~400		850	425	425	6.2945
20~400		850	425	425	6.29475
20~400		850	425	425	6.295
20~400		850	425	425	6.29525
20~400		850	425	425	6.2955
20~400		850	425	425	6.29575
20~400		850	425	425	6.296
20~400		850	425	425	6.29625
20~400		850	425	425	6.2965
20~400		850	425	425	6.29675
20~400		850	425	425	6.297
20~400		850	425	425	6.29725
20~400		850	425	425	6.2975
20~400		850	425	425	6.29775
20~400		850	425	425	6.298
20~400		850	425	425	6.29825
20~400		850	425	425	6.2985
20~400		850	425	425	6.29875
20~400		850	425	425	6.299
20~400		850	425	425	6.29925
20~400		850	425	425	6.2995
20~400		850	425	425	6.29975
20~400		850	425	425	6.3
20~400		850	425	425	6.30025
20~400		850	425	425	6.3005
20~400		850	425	425	6.30075
20~400		850	425	425	6.301
20~400		850	425	425	6.30125
20~400		850	425	425	6.3015
20~400		850	425	425	6.30175
20~400		850	425	425	6.302
20~400		850	425	425	6.30225
20~400		850	425	425	6.3025
20~400		850	425	425	6.30275
20~400		850	425	426	6.303
20~400		850	425	426	6.30325
20~400		850	425	426	6.3035
20~400		850	425	426	6.30375
20~400		850	425	426	6.304
20~400		850	425	426	6.30425
20~400		850	425	426	6.3045
20~400		850	425	426	6.30475
20~400		850	425	426	6.305
20~400		850	425	426	6.30525
20~400		850	425	426	6.3055
