pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
40  <pt<50 	7<chiso range<12 	41.2865	39.4248	7.8382	0.237516
40  <pt<50 	7<chiso range<13 	41.2865	40.4326	7.72571	0.110527
40  <pt<50 	8<chiso range<13 	41.2865	41.0491	7.65933	0.0309949
#######################################################################################
50  <pt<60 	3<chiso range<8 	25.0128	25.5824	5.73129	0.0993843
50  <pt<60 	3<chiso range<9 	25.0128	25.8648	5.71146	0.149174
50  <pt<60 	3<chiso range<10 	25.0128	25.3808	5.76342	0.063851
50  <pt<60 	3<chiso range<11 	25.0128	25.5521	5.73619	0.0940171
50  <pt<60 	3<chiso range<12 	25.0128	25.8687	5.71008	0.149893
50  <pt<60 	3<chiso range<13 	25.0128	26.1615	5.67151	0.202539
50  <pt<60 	4<chiso range<9 	25.0128	26.2234	5.65722	0.213992
50  <pt<60 	4<chiso range<10 	25.0128	25.7206	5.73024	0.12352
50  <pt<60 	4<chiso range<11 	25.0128	25.8691	5.7105	0.149952
50  <pt<60 	4<chiso range<12 	25.0128	26.1309	5.67443	0.197042
50  <pt<60 	4<chiso range<13 	25.0128	26.374	5.62739	0.241888
50  <pt<60 	5<chiso range<10 	25.0128	25.3528	5.76987	0.0589268
50  <pt<60 	5<chiso range<11 	25.0128	25.5802	5.73312	0.0989688
50  <pt<60 	5<chiso range<12 	25.0128	25.9612	5.69852	0.166429
50  <pt<60 	5<chiso range<13 	25.0128	26.2925	5.64934	0.226522
50  <pt<60 	6<chiso range<11 	25.0128	25.8528	5.71492	0.146984
50  <pt<60 	6<chiso range<12 	25.0128	26.2	5.66132	0.209704
50  <pt<60 	6<chiso range<13 	25.0128	26.5319	5.60705	0.270927
50  <pt<60 	7<chiso range<12 	25.0128	26.2788	5.65008	0.224068
50  <pt<60 	7<chiso range<13 	25.0128	26.6651	5.58872	0.295649
50  <pt<60 	8<chiso range<13 	25.0128	26.8595	5.5866	0.330559
#######################################################################################
60  <pt<400 	3<chiso range<8 	54.979	56.9439	8.00832	0.245357
60  <pt<400 	3<chiso range<9 	54.979	56.8181	8.0154	0.229446
60  <pt<400 	3<chiso range<10 	54.979	56.632	8.03266	0.205785
60  <pt<400 	3<chiso range<11 	54.979	56.6889	8.02813	0.212989
60  <pt<400 	3<chiso range<12 	54.979	56.5446	8.03966	0.194735
60  <pt<400 	3<chiso range<13 	54.979	56.6019	8.03507	0.201977
60  <pt<400 	4<chiso range<9 	54.979	56.9775	8.00732	0.249584
60  <pt<400 	4<chiso range<10 	54.979	56.7177	8.02502	0.21666
60  <pt<400 	4<chiso range<11 	54.979	56.769	8.02084	0.223169
60  <pt<400 	4<chiso range<12 	54.979	56.6015	8.03472	0.201936
60  <pt<400 	4<chiso range<13 	54.979	56.6596	8.03001	0.20929
60  <pt<400 	5<chiso range<10 	54.979	56.4557	8.04826	0.183481
60  <pt<400 	5<chiso range<11 	54.979	56.57	8.03882	0.197915
60  <pt<400 	5<chiso range<12 	54.979	56.3812	8.05382	0.174104
60  <pt<400 	5<chiso range<13 	54.979	56.4761	8.04623	0.186062
60  <pt<400 	6<chiso range<11 	54.979	56.4101	8.0525	0.177721
60  <pt<400 	6<chiso range<12 	54.979	56.2046	8.06905	0.151889
60  <pt<400 	6<chiso range<13 	54.979	56.3365	8.05815	0.168463
60  <pt<400 	7<chiso range<12 	54.979	56.089	8.07884	0.137396
60  <pt<400 	7<chiso range<13 	54.979	56.2627	8.06461	0.159177
60  <pt<400 	8<chiso range<13 	54.979	56.2303	8.06743	0.155105
#######################################################################################
