Scan on variable: photon_pt
isUpper WP: 0
                  WP       Passed Events
                  20           0.0226348
                  30           0.0114256
                  40          0.00694653
                  50          0.00442396
                  60          0.00301859
                  70          0.00216921
                  80          0.00161673
                  90          0.00123822
                 100         0.000973234
                 200         0.000158849
                 400         1.26607e-05
