pt range	total	half	sum	chiso
20~400		37	18.5	18	5.981
20~400		37	18.5	18	5.98125
20~400		37	18.5	18	5.9815
20~400		37	18.5	18	5.98175
20~400		37	18.5	18	5.982
20~400		37	18.5	18	5.98225
20~400		37	18.5	18	5.9825
20~400		37	18.5	18	5.98275
20~400		37	18.5	18	5.983
20~400		37	18.5	18	5.98325
20~400		37	18.5	18	5.9835
20~400		37	18.5	18	5.98375
20~400		37	18.5	18	5.984
20~400		37	18.5	18	5.98425
20~400		37	18.5	18	5.9845
20~400		37	18.5	18	5.98475
20~400		37	18.5	18	5.985
20~400		37	18.5	18	5.98525
20~400		37	18.5	18	5.9855
20~400		37	18.5	18	5.98575
20~400		37	18.5	18	5.986
20~400		37	18.5	18	5.98625
20~400		37	18.5	18	5.9865
20~400		37	18.5	18	5.98675
20~400		37	18.5	18	5.987
20~400		37	18.5	18	5.98725
20~400		37	18.5	18	5.9875
20~400		37	18.5	18	5.98775
20~400		37	18.5	18	5.988
20~400		37	18.5	18	5.98825
20~400		37	18.5	18	5.9885
20~400		37	18.5	18	5.98875
20~400		37	18.5	18	5.989
20~400		37	18.5	18	5.98925
20~400		37	18.5	18	5.9895
20~400		37	18.5	18	5.98975
20~400		37	18.5	18	5.99
20~400		37	18.5	18	5.99025
20~400		37	18.5	18	5.9905
20~400		37	18.5	18	5.99075
20~400		37	18.5	18	5.991
20~400		37	18.5	18	5.99125
20~400		37	18.5	18	5.9915
20~400		37	18.5	18	5.99175
20~400		37	18.5	18	5.992
20~400		37	18.5	18	5.99225
20~400		37	18.5	18	5.9925
20~400		37	18.5	18	5.99275
20~400		37	18.5	18	5.993
20~400		37	18.5	18	5.99325
20~400		37	18.5	18	5.9935
20~400		37	18.5	18	5.99375
20~400		37	18.5	18	5.994
20~400		37	18.5	18	5.99425
20~400		37	18.5	18	5.9945
20~400		37	18.5	18	5.99475
20~400		37	18.5	18	5.995
20~400		37	18.5	18	5.99525
20~400		37	18.5	18	5.9955
20~400		37	18.5	18	5.99575
20~400		37	18.5	18	5.996
20~400		37	18.5	18	5.99625
20~400		37	18.5	18	5.9965
20~400		37	18.5	18	5.99675
20~400		37	18.5	18	5.997
20~400		37	18.5	18	5.99725
20~400		37	18.5	18	5.9975
20~400		37	18.5	18	5.99775
20~400		37	18.5	18	5.998
20~400		37	18.5	18	5.99825
20~400		37	18.5	18	5.9985
20~400		37	18.5	18	5.99875
20~400		37	18.5	18	5.999
20~400		37	18.5	18	5.99925
20~400		37	18.5	18	5.9995
20~400		37	18.5	18	5.99975
20~400		37	18.5	18	6
20~400		37	18.5	18	6.00025
20~400		37	18.5	18	6.0005
20~400		37	18.5	18	6.00075
20~400		37	18.5	18	6.001
20~400		37	18.5	18	6.00125
20~400		37	18.5	18	6.0015
20~400		37	18.5	18	6.00175
20~400		37	18.5	18	6.002
20~400		37	18.5	18	6.00225
20~400		37	18.5	18	6.0025
20~400		37	18.5	18	6.00275
20~400		37	18.5	18	6.003
20~400		37	18.5	18	6.00325
20~400		37	18.5	18	6.0035
20~400		37	18.5	18	6.00375
20~400		37	18.5	18	6.004
20~400		37	18.5	18	6.00425
20~400		37	18.5	18	6.0045
20~400		37	18.5	18	6.00475
20~400		37	18.5	18	6.005
20~400		37	18.5	18	6.00525
20~400		37	18.5	18	6.0055
20~400		37	18.5	18	6.00575
20~400		37	18.5	18	6.006
20~400		37	18.5	18	6.00625
20~400		37	18.5	18	6.0065
20~400		37	18.5	18	6.00675
20~400		37	18.5	18	6.007
20~400		37	18.5	18	6.00725
20~400		37	18.5	18	6.0075
20~400		37	18.5	18	6.00775
20~400		37	18.5	18	6.008
20~400		37	18.5	18	6.00825
20~400		37	18.5	18	6.0085
20~400		37	18.5	18	6.00875
20~400		37	18.5	18	6.009
20~400		37	18.5	18	6.00925
20~400		37	18.5	18	6.0095
20~400		37	18.5	18	6.00975
20~400		37	18.5	18	6.01
20~400		37	18.5	18	6.01025
20~400		37	18.5	18	6.0105
20~400		37	18.5	18	6.01075
20~400		37	18.5	18	6.011
20~400		37	18.5	18	6.01125
20~400		37	18.5	18	6.0115
20~400		37	18.5	18	6.01175
20~400		37	18.5	18	6.012
20~400		37	18.5	18	6.01225
20~400		37	18.5	18	6.0125
20~400		37	18.5	18	6.01275
20~400		37	18.5	18	6.013
20~400		37	18.5	18	6.01325
20~400		37	18.5	18	6.0135
20~400		37	18.5	18	6.01375
20~400		37	18.5	18	6.014
